Name,SRR1140763,SRR1140994,SRR1140995,SRR1142421,SRR1142422,SRR1142423
Smp_333010.1,1375.005131,1770.046258,1115.669151,2311.199886,1610.724014,923.033159
Smp_333030.1,53.762055,35.278484,36.291516,34.230184,56.131963,38.56137
Smp_333040.1,22.020596,19.888331,16.355638,18.198414,22.768689,14.968571
Smp_333050.1,11.620703,5.3614,6.572194,12.429487,9.141749,8.08312
Smp_333070.1,8.326023,6.318171,6.118185,6.045031,7.382155,8.012806
Smp_333080.1,17.105074,12.654206,14.358073,9.468874,14.471162,9.034429
Smp_333090.1,39.213736,21.645642,22.444282,36.637034,27.971775,21.882458
Smp_333100.1,7.481428,4.152641,4.534568,6.954133,3.79738,5.403076
Smp_333120.1,1.502399,1.033752,1.782753,1.160866,3.51793,2.210853
Smp_333140.1,3.026089,2.174499,1.887761,3.225784,2.546377,2.725287
Smp_333150.1,15.317223,13.328814,9.818289,22.068956,17.453247,13.006769
Smp_333160.1,16.944488,6.321073,4.749903,21.190215,7.574443,7.6688
Smp_333170.1,38.346321,33.458517,32.565833,41.553797,44.636772,42.616983
Smp_333180.1,0.0,0.0,0.110664,0.109258,0.0,0.425114
Smp_333190.1,6.398788,13.841525,9.174636,6.817476,8.202504,11.502814
Smp_333200.1,61.023966,40.700366,34.446365,70.18705,51.988721,33.139361
Smp_333210.1,2.138361,2.088977,1.189371,5.597134,1.895103,1.600603
Smp_333210.2,0.0,0.0,0.399278,2.663732,0.0,0.0
Smp_333220.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_333230.1,15.959643,8.390492,19.088454,3.124909,7.023567,4.801189
Smp_333240.1,8.861067,4.699202,3.956722,4.1418,9.541442,6.436017
Smp_333250.1,0.77563,0.135303,0.238316,0.835932,0.243037,0.105628
Smp_333260.1,17.018601,8.846223,8.494824,13.69166,13.592468,7.183616
Smp_333270.1,14.56137,21.337624,31.5783,1.751598,34.117275,12.030532
Smp_333280.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_333280.2,0.0,0.0,0.0,0.0,0.0,0.0
Smp_333290.1,2.583157,1.39918,1.086908,3.751542,1.743132,1.444111
Smp_333300.1,2.890956,0.910993,0.755218,2.45135,1.334276,1.294482
Smp_333310.1,18.949296,9.091288,8.283727,26.583163,11.654785,9.366727
Smp_333320.1,12.188531,9.621853,9.108712,10.297729,14.877262,10.95427
Smp_333330.1,14.792409,7.225393,10.122707,9.004792,9.385307,9.101963
Smp_333340.1,1.653377,5.976214,3.86412,1.286129,5.011292,5.758265
Smp_333340.2,0.0,0.0,0.0,0.0,0.0,0.0
Smp_333350.1,9.058232,4.72619,3.020648,12.530718,4.146263,5.128803
Smp_333360.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_333370.1,3.408418,1.506463,1.44995,3.938169,2.197268,1.725773
Smp_333380.1,0.130944,0.0,0.140293,0.045302,0.08858,0.032955
Smp_333390.1,1.271754,0.690213,0.088069,0.774949,0.0,0.330069
Smp_333390.2,0.0,0.0,1.233006,0.254826,1.093898,0.489717
Smp_333400.1,51.081893,34.917543,30.073058,32.326569,39.147073,31.532659
Smp_333400.2,0.0,0.0,0.0,0.107037,1.314502,0.226099
Smp_333400.3,0.812462,0.159259,0.0,2.28161,0.863317,0.30144
Smp_333410.1,7.589869,6.962372,4.33159,23.900834,8.396696,6.164765
Smp_333420.1,7.53149,6.09048,9.672153,5.518058,6.350166,5.073925
Smp_333450.1,8.64391,7.786775,6.213938,6.060637,10.548625,9.914544
Smp_333460.1,20.776547,9.573926,12.309282,21.50278,12.897801,8.869247
Smp_333470.1,0.313241,0.174389,0.184309,0.537604,0.274888,0.267426
Smp_333480.1,0.76285,0.79181,0.410168,1.047637,0.532404,0.472697
Smp_333480.2,0.0,0.0,0.0,0.0,0.0,0.0
Smp_333490.1,0.911692,1.246892,0.444445,0.731121,0.908976,0.278118
Smp_333500.1,12.057532,4.209115,3.630163,12.593931,7.851401,9.942314
Smp_333500.2,7.98292,5.974643,5.579372,5.211455,2.870179,2.486903
Smp_333510.1,14.31287,8.841762,6.76016,22.264022,10.240988,9.604649
Smp_333520.1,3.245651,0.847976,1.060597,2.282,1.429853,1.851654
Smp_333540.1,0.252181,0.0,0.033883,0.155107,0.105535,0.014412
Smp_333550.1,98.285046,81.799358,74.428667,70.592343,112.738644,83.870963
Smp_333560.1,0.29566,0.0,0.19085,0.902791,0.323372,0.411765
Smp_333570.1,0.836394,0.980494,0.3118,1.059764,0.066712,0.382722
Smp_333580.1,1.784362,3.002096,1.364498,2.400813,1.304634,0.705615
Smp_333590.1,0.0,0.0,0.0,0.405668,0.252176,0.114818
Smp_333600.1,14.369628,5.798209,7.70384,14.91382,11.918252,12.891238
Smp_333610.1,45.835486,33.180033,26.004042,40.829621,52.471583,25.106322
Smp_333620.1,25.575913,10.431342,10.029507,19.151499,10.83738,10.329658
Smp_333630.1,4.752396,1.638579,1.28264,5.20107,2.787199,1.030459
Smp_333640.1,30.293538,17.9089,17.974083,29.678204,23.639523,19.570162
Smp_333650.1,0.329963,0.412744,0.573029,0.745981,0.194679,0.479452
Smp_333660.1,185.011071,174.139365,129.352962,147.49473,197.106434,117.533245
Smp_333670.1,1.461143,1.823899,1.513055,0.989475,1.877641,2.3112
Smp_333680.1,8.899813,5.132917,4.273449,12.870738,4.993619,4.894958
Smp_333690.1,0.0,0.0,0.391036,0.98419,0.135956,0.0
Smp_333700.1,4.624943,1.700645,1.408216,3.67559,2.279677,1.34746
Smp_333710.1,33.74976,19.982016,30.794075,41.500016,28.754783,21.449142
Smp_333720.1,4.392313,1.585926,1.109412,11.838706,1.555435,2.886868
Smp_333730.1,1.427215,0.0,0.716224,1.106388,0.379457,0.241879
Smp_333740.1,1.626688,0.827667,0.408163,3.697253,1.13529,1.033817
Smp_333750.1,0.457562,0.726367,0.278824,0.999903,0.29653,0.567054
Smp_333760.1,9.347938,2.054712,4.020946,6.990459,5.032848,3.475449
Smp_333770.1,27.045262,14.653478,17.303337,29.835541,17.402422,16.379345
Smp_333780.1,0.28569,0.034886,0.102406,0.234842,0.049847,0.086244
Smp_333790.1,1.624886,0.152756,0.420665,2.764246,0.329834,0.562404
Smp_333800.1,15.141693,7.11878,6.073899,17.089272,8.152403,9.329392
Smp_333810.1,114.175694,101.346015,72.577781,163.185727,96.41841,69.720731
Smp_333830.1,0.0,0.0,0.080528,0.075067,0.0,0.0
Smp_333840.1,3.086429,0.917654,1.173679,7.619083,0.856274,1.364544
Smp_333850.1,7.795828,2.221271,2.375266,2.698763,3.951073,2.10567
Smp_333860.1,0.465292,0.568182,0.567068,1.977616,0.556686,0.739272
Smp_333870.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_333880.1,4.216111,1.08689,1.091476,6.424016,0.980828,1.697007
Smp_333890.1,15.860143,7.347042,6.942706,17.163692,9.954007,9.268611
Smp_333900.1,0.0,0.148687,0.10184,0.471954,0.121399,0.154768
Smp_333910.1,55.422638,43.344561,41.607749,62.922901,37.748961,35.420889
Smp_333920.1,0.901809,0.440491,0.560309,0.735249,0.299707,0.515818
Smp_333930.1,1.541712,0.0,0.0,0.0,0.0,0.0
Smp_333940.1,75.878311,47.552489,55.998613,52.652239,49.616462,50.479782
Smp_333950.1,12.018321,9.093337,10.575699,16.334126,11.058375,10.493595
Smp_333960.1,14.290397,8.801101,7.839534,22.521427,9.415953,4.97538
Smp_333970.1,14.579453,8.296746,6.393015,16.323148,7.028095,7.970342
Smp_333980.1,6.582776,7.395362,7.204675,4.434344,6.081866,5.884905
Smp_333990.1,0.602741,0.0,0.0,0.072504,0.060095,0.191531
Smp_334000.1,15.855039,15.404696,19.199576,11.781888,22.37148,24.917251
