"","SRR1140763","SRR1140994","SRR1140995","SRR1142421","SRR1142422","SRR1142423"
"SRR1140763",1,0.951621826595768,0.952235109354814,0.952290008134262,0.956071744813981,0.957195648724517
"SRR1140994",0.951621826595768,1,0.970275742024954,0.926483811826565,0.973731211769981,0.972686413649193
"SRR1140995",0.952235109354814,0.970275742024954,1,0.921954330503696,0.974873779181647,0.975765249189342
"SRR1142421",0.952290008134262,0.926483811826565,0.921954330503696,1,0.929094989415351,0.934931787215383
"SRR1142422",0.956071744813981,0.973731211769981,0.974873779181647,0.929094989415351,1,0.979867211414561
"SRR1142423",0.957195648724517,0.972686413649193,0.975765249189342,0.934931787215383,0.979867211414561,1
