source,target,correlation,abs_correlation,interaction,relation,edge_width
Smp_348100.1,Smp_319930.1,0.9821626189945313,0.9821626189945313,coexpressao_positiva,positiva,0.9821626189945313
Smp_348100.1,Smp_104500.2,0.9939818810267114,0.9939818810267114,coexpressao_positiva,positiva,0.9939818810267114
Smp_348100.1,Smp_322350.1,0.9892133621905029,0.9892133621905029,coexpressao_positiva,positiva,0.9892133621905029
Smp_348100.1,Smp_242860.2,0.9973895002011013,0.9973895002011013,coexpressao_positiva,positiva,0.9973895002011013
Smp_348100.1,Smp_343170.2,0.9708193862139294,0.9708193862139294,coexpressao_positiva,positiva,0.9708193862139294
Smp_348100.1,Smp_150230.2,0.9987358322939217,0.9987358322939217,coexpressao_positiva,positiva,0.9987358322939217
Smp_319930.1,Smp_104500.2,0.9889200737929201,0.9889200737929201,coexpressao_positiva,positiva,0.9889200737929201
Smp_319930.1,Smp_322350.1,0.9982848137509005,0.9982848137509005,coexpressao_positiva,positiva,0.9982848137509005
Smp_319930.1,Smp_242860.2,0.9927148409276271,0.9927148409276271,coexpressao_positiva,positiva,0.9927148409276271
Smp_319930.1,Smp_343170.2,0.9726669726777446,0.9726669726777446,coexpressao_positiva,positiva,0.9726669726777446
Smp_319930.1,Smp_335110.1,0.9955266132420053,0.9955266132420053,coexpressao_positiva,positiva,0.9955266132420053
Smp_319930.1,Smp_211020.2,0.989942304779871,0.989942304779871,coexpressao_positiva,positiva,0.989942304779871
Smp_319930.1,Smp_150230.2,0.9797666462457992,0.9797666462457992,coexpressao_positiva,positiva,0.9797666462457992
Smp_204420.1,Smp_330170.1,0.9738478867655364,0.9738478867655364,coexpressao_positiva,positiva,0.9738478867655364
Smp_204420.1,Smp_156910.2,0.9792576627528463,0.9792576627528463,coexpressao_positiva,positiva,0.9792576627528463
Smp_204420.1,Smp_348790.2,0.9812952810547928,0.9812952810547928,coexpressao_positiva,positiva,0.9812952810547928
Smp_204420.1,Smp_017470.2,0.9899732602629814,0.9899732602629814,coexpressao_positiva,positiva,0.9899732602629814
Smp_204420.1,Smp_164270.1,0.9948427771429356,0.9948427771429356,coexpressao_positiva,positiva,0.9948427771429356
Smp_204420.1,Smp_106010.1,0.9966557541999763,0.9966557541999763,coexpressao_positiva,positiva,0.9966557541999763
Smp_204420.1,Smp_322760.1,0.9701533751731097,0.9701533751731097,coexpressao_positiva,positiva,0.9701533751731097
Smp_204420.1,Smp_131680.2,0.9960929656912173,0.9960929656912173,coexpressao_positiva,positiva,0.9960929656912173
Smp_204420.1,Smp_130470.2,0.9884456664436269,0.9884456664436269,coexpressao_positiva,positiva,0.9884456664436269
Smp_204420.1,Smp_000790.2,0.9766445619295276,0.9766445619295276,coexpressao_positiva,positiva,0.9766445619295276
Smp_204420.1,Smp_347560.1,0.9762295980707129,0.9762295980707129,coexpressao_positiva,positiva,0.9762295980707129
Smp_204420.1,Smp_130520.4,0.9927704921906136,0.9927704921906136,coexpressao_positiva,positiva,0.9927704921906136
Smp_204420.1,Smp_317240.1,0.9997671417260424,0.9997671417260424,coexpressao_positiva,positiva,0.9997671417260424
Smp_204420.1,Smp_200460.1,0.9943048420714298,0.9943048420714298,coexpressao_positiva,positiva,0.9943048420714298
Smp_204420.1,Smp_336340.1,0.9944443142541084,0.9944443142541084,coexpressao_positiva,positiva,0.9944443142541084
Smp_247660.1,Smp_316860.1,0.9997754501217133,0.9997754501217133,coexpressao_positiva,positiva,0.9997754501217133
Smp_247660.1,Smp_019840.2,0.9761083987793445,0.9761083987793445,coexpressao_positiva,positiva,0.9761083987793445
Smp_247660.1,Smp_163570.2,0.9867835185701597,0.9867835185701597,coexpressao_positiva,positiva,0.9867835185701597
Smp_247660.1,Smp_304890.1,0.99114113739589,0.99114113739589,coexpressao_positiva,positiva,0.99114113739589
Smp_247660.1,Smp_171140.1,0.9867311928291517,0.9867311928291517,coexpressao_positiva,positiva,0.9867311928291517
Smp_247660.1,Smp_331600.1,0.9831853531869567,0.9831853531869567,coexpressao_positiva,positiva,0.9831853531869567
Smp_323230.1,Smp_200770.1,0.9925782461698327,0.9925782461698327,coexpressao_positiva,positiva,0.9925782461698327
Smp_323230.1,Smp_341160.2,0.9986438909894366,0.9986438909894366,coexpressao_positiva,positiva,0.9986438909894366
Smp_323230.1,Smp_051000.1,0.9884452942969265,0.9884452942969265,coexpressao_positiva,positiva,0.9884452942969265
