glay,degree,hub_status,mean_log_expression,gene,selected,shared name,variance_log_expression,weighted_degree,rede,gene_busca,motivo_prioridade
16,19,non_hub,3.658611787905585,Smp_000790.2,False,Smp_000790.2,1.0053716577140408,18.665815049328195,positiva,Smp_000790,top_grau_rede
16,18,non_hub,1.5125559021716617,Smp_244860.1,False,Smp_244860.1,0.8025176710546716,17.770600937297758,positiva,Smp_244860,top_grau_rede
16,17,non_hub,1.514376253326685,Smp_005190.3,False,Smp_005190.3,1.1085623114914658,16.712790942475582,positiva,Smp_005190,top_grau_rede
16,16,non_hub,1.859112186007413,Smp_336340.1,False,Smp_336340.1,0.7073870335431929,15.772240123385782,positiva,Smp_336340,top_grau_rede
16,16,non_hub,1.7555149815546296,Smp_345970.2,False,Smp_345970.2,1.4685569342979532,15.728145751343568,positiva,Smp_345970,top_grau_rede
16,16,non_hub,2.853544183779615,Smp_156910.2,False,Smp_156910.2,3.808321310038137,15.688024134685808,positiva,Smp_156910,top_grau_rede
16,15,non_hub,1.194362711339164,Smp_127870.1,False,Smp_127870.1,0.8029350494179024,14.806789235264938,positiva,Smp_127870,top_grau_rede
16,15,non_hub,2.1397697149653667,Smp_017470.2,False,Smp_017470.2,2.243509876650707,14.805369801285076,positiva,Smp_017470,top_grau_rede
16,15,non_hub,4.392020251946428,Smp_204420.1,False,Smp_204420.1,10.131252231486297,14.80472557972946,positiva,Smp_204420,top_grau_rede
16,15,non_hub,2.209280837912451,Smp_200460.1,False,Smp_200460.1,0.7290257663192442,14.77153886884422,positiva,Smp_200460,top_grau_rede
16,15,non_hub,1.6792163047238238,Smp_172510.2,False,Smp_172510.2,1.5398253171404856,14.758618502527854,positiva,Smp_172510,top_grau_rede
16,14,non_hub,1.2564738139432852,Smp_130520.4,False,Smp_130520.4,0.7665259246038149,13.840224959365296,positiva,Smp_130520,top_grau_rede
16,14,non_hub,3.2906562339445475,Smp_317240.1,False,Smp_317240.1,0.7481687401584428,13.823099501958309,positiva,Smp_317240,top_grau_rede
16,14,non_hub,1.5093792905513146,Smp_130470.2,False,Smp_130470.2,1.0892425230487277,13.760842656542884,positiva,Smp_130470,top_grau_rede
1,2,non_hub,5.727835011110378,Smp_179390.1,False,Smp_179390.1,0.7775989475581406,1.9734170284196704,positiva,Smp_179390,top5_por_glay
1,1,non_hub,0.9746569761367138,Smp_320100.1,False,Smp_320100.1,0.9928608678277512,0.9973480382579544,positiva,Smp_320100,top5_por_glay
1,1,non_hub,3.375008159169228,Smp_346960.1,False,Smp_346960.1,0.7834355780145851,0.9760689901617162,positiva,Smp_346960,top5_por_glay
2,1,non_hub,2.486187100012594,Smp_335670.1,False,Smp_335670.1,0.8402590963931175,0.979325833261632,positiva,Smp_335670,top5_por_glay
2,1,non_hub,0.9747664064606252,Smp_348240.1,False,Smp_348240.1,0.842112522309925,0.979325833261632,positiva,Smp_348240,top5_por_glay
3,12,non_hub,1.9610181233405188,Smp_051000.2,False,Smp_051000.2,1.712999526058657,11.85124895160987,positiva,Smp_051000,top5_por_glay
3,12,non_hub,1.8757120914057457,Smp_150080.2,False,Smp_150080.2,1.6023193870640744,11.839365035615971,positiva,Smp_150080,top5_por_glay
3,12,non_hub,2.530642334620782,Smp_020450.2,False,Smp_020450.2,2.8520693441658964,11.838324062325402,positiva,Smp_020450,top5_por_glay
3,11,non_hub,1.8708525687368576,Smp_093430.1,False,Smp_093430.1,1.5708599897396371,10.89158045849424,positiva,Smp_093430,top5_por_glay
3,11,non_hub,1.978412082748108,Smp_320200.1,False,Smp_320200.1,1.7647380271527056,10.88879938215386,positiva,Smp_320200,top5_por_glay
4,3,non_hub,0.6291734173777038,Smp_141010.2,False,Smp_141010.2,0.9198859297331836,2.96649629957548,positiva,Smp_141010,top5_por_glay
4,3,non_hub,0.5842319674132046,Smp_328620.2,False,Smp_328620.2,0.8670852944364337,2.9568322665069324,positiva,Smp_328620,top5_por_glay
4,2,non_hub,1.9436637982742435,Smp_058140.1,False,Smp_058140.1,0.8163579672114246,1.96331338575889,positiva,Smp_058140,top5_por_glay
4,2,non_hub,0.6720006080591996,Smp_056460.1,False,Smp_056460.1,0.8217703743483398,1.9624329067471848,positiva,Smp_056460,top5_por_glay
5,4,non_hub,0.8528302134993394,Smp_317510.1,False,Smp_317510.1,1.1608769146668394,3.94656831600257,positiva,Smp_317510,top5_por_glay
5,4,non_hub,3.9450848553732456,Smp_055870.2,False,Smp_055870.2,0.7363535602432628,3.936342942040272,positiva,Smp_055870,top5_por_glay
5,4,non_hub,1.7451571364758005,Smp_314280.1,False,Smp_314280.1,0.8349114284339425,3.9311850140302376,positiva,Smp_314280,top5_por_glay
5,4,non_hub,1.103304828240736,Smp_154900.1,False,Smp_154900.1,0.7961872603516312,3.928559619515928,positiva,Smp_154900,top5_por_glay
5,4,non_hub,2.036458694357409,Smp_084180.1,False,Smp_084180.1,5.7536074082622575,3.922048341981096,positiva,Smp_084180,top5_por_glay
6,2,non_hub,2.521567599629824,Smp_130520.1,False,Smp_130520.1,0.9314042953419892,1.98370366559666,positiva,Smp_130520,top5_por_glay
6,2,non_hub,1.1685174432337038,Smp_246050.3,False,Smp_246050.3,0.977226046167226,1.982362894537789,positiva,Smp_246050,top5_por_glay
6,2,non_hub,1.982473535391348,Smp_345970.1,False,Smp_345970.1,0.7452564060451858,1.9686867826020973,positiva,Smp_345970,top5_por_glay
7,7,non_hub,2.258066134401191,Smp_316860.1,False,Smp_316860.1,2.4299593353013806,6.889046040408302,positiva,Smp_316860,top5_por_glay
7,6,non_hub,4.320427033241758,Smp_247660.1,False,Smp_247660.1,8.84057992655008,5.923725050883216,positiva,Smp_247660,top5_por_glay
7,6,non_hub,1.8082239510017029,Smp_163570.2,False,Smp_163570.2,1.4697187400665772,5.919055922494968,positiva,Smp_163570,top5_por_glay
7,5,non_hub,1.4198714092422038,Smp_304890.1,False,Smp_304890.1,0.980198331278948,4.938551793850838,positiva,Smp_304890,top5_por_glay
7,5,non_hub,1.460397796268134,Smp_171140.1,False,Smp_171140.1,0.9715729371348146,4.925264779078557,positiva,Smp_171140,top5_por_glay
8,4,non_hub,0.7999754200067484,Smp_211020.1,False,Smp_211020.1,0.8838754656449281,3.9684808418924034,positiva,Smp_211020,top5_por_glay
