"Gene","Target","OthersMean","Log2FC"
"Smp_000020.1",4.90870412520075,4.34003890491406,0.568665220286697
"Smp_000030.1",6.75484076075863,6.72778198119039,0.027058779568244
"Smp_000040.1",5.89237208130868,5.48811212237443,0.404259958934256
"Smp_000050.1",3.05002902203375,1.14169293017663,1.90833609185712
"Smp_000070.1",5.92197283799084,5.88805051128631,0.0339223267045332
"Smp_000075.1",0.0486058812072641,0.0297529879670517,0.0188528932402124
"Smp_000080.1",1.70110187416275,0.835538023456838,0.865563850705916
"Smp_000100.1",5.75730740916885,4.2621037812718,1.49520362789704
"Smp_000110.1",4.45971947315593,4.19912329638928,0.260596176766649
"Smp_000130.1",5.43840344508726,4.77199649056015,0.666406954527115
"Smp_000150.1",5.84104414784917,5.37467564035004,0.466368507499123
"Smp_000160.1",2.25628486270193,1.49744409240643,0.758840770295501
"Smp_000180.1",0.937224602053655,0.926666357582069,0.0105582444715859
"Smp_000190.1",3.5004924521492,2.14123432408915,1.35925812806005
"Smp_000200.1",2.64997499593955,1.77841593505648,0.871559060883071
"Smp_000230.1",3.8332753900588,3.03164358493525,0.801631805123549
"Smp_000240.1",7.40964859543508,7.54653337577996,-0.136884780344877
"Smp_000250.1",0,0,0
"Smp_000260.1",6.94747161827327,5.81554194004176,1.13192967823151
"Smp_000270.1",0.126520952426654,0.23879101110435,-0.112270058677696
"Smp_000280.1",0.108842901787949,0.194477638325364,-0.0856347365374149
"Smp_000300.1",2.55568831876604,3.0816264457582,-0.525938126992166
"Smp_000310.1",6.68712159275528,6.87596296623385,-0.188841373478573
"Smp_000320.1",4.03426115106293,2.88717010022026,1.14709105084267
"Smp_000340.1",0.970365558103169,0.580158545209052,0.390207012894118
"Smp_000370.1",3.80570374049207,3.0557565471119,0.749947193380165
"Smp_000390.1",0.0817963631225527,0,0.0817963631225527
"Smp_000420.1",0,0,0
"Smp_000430.1",0,0.0409015211164703,-0.0409015211164703
"Smp_000470.1",5.73653655402328,5.61056812905035,0.125968424972931
"Smp_000480.1",1.99518527560724,0.753909602986822,1.24127567262042
"Smp_000480.2",2.95558174911096,2.53359565200993,0.42198609710103
"Smp_000500.1",1.81034438434231,4.20438618157065,-2.39404179722834
"Smp_000510.1",4.11236902543228,4.19816083940296,-0.0857918139706815
"Smp_000560.1",0,0,0
"Smp_000580.1",1.48121109569372,2.03687356700255,-0.555662471308826
"Smp_000590.1",4.79099655544285,3.97723565134446,0.813760904098385
"Smp_000600.1",4.39449219131288,3.64371979855105,0.75077239276183
"Smp_000620.1",1.66418107164168,1.00786720917817,0.656313862463509
"Smp_000630.1",3.95223085922967,3.21230006872752,0.739930790502158
"Smp_000640.1",5.7185419448988,5.61965634063459,0.0988856042642148
"Smp_000650.1",5.31553500250194,4.38530968256344,0.930225319938502
"Smp_000660.1",6.117571585574,4.7793207742509,1.3382508113231
"Smp_000670.1",3.72183842493436,2.59599514177321,1.12584328316115
"Smp_000680.1",4.5889628327237,3.90540922721275,0.68355360551095
"Smp_000690.1",1.30106197675052,1.02451743618879,0.276544540561732
"Smp_000700.1",4.12189277360411,3.70032828743353,0.421564486170579
"Smp_000710.1",5.48191048464325,4.81644517719248,0.665465307450767
"Smp_000720.1",4.74448383556768,3.60623551509118,1.1382483204765
"Smp_000740.1",7.12304834414777,6.68538744666516,0.437660897482604
"Smp_000755.1",5.77755916491296,2.54207984537047,3.23547931954248
"Smp_000770.1",0,0,0
"Smp_000790.1",3.85275066095798,3.07368770828557,0.779062952672408
"Smp_000790.2",3.33677881853983,3.8696601505214,-0.532881331981574
"Smp_000810.1",3.43552472160332,3.25568981329836,0.179834908304963
"Smp_000820.1",8.48793682375934,6.06060293194186,2.42733389181748
"Smp_000820.2",5.06775895079159,2.47335934452287,2.59439960626873
"Smp_000830.1",0.672438920213865,0.0519655067472985,0.620473413466567
"Smp_000850.1",4.68891187355142,3.68612004043866,1.00279183311277
"Smp_000870.1",4.17213071800014,2.88555538310931,1.28657533489083
"Smp_000880.1",9.5427003065454,8.75355510012379,0.789145206421601
"Smp_000900.1",2.79051620783721,2.46685786813204,0.323658339705175
"Smp_000910.1",2.39611262264855,2.84307297820674,-0.446960355558183
"Smp_000950.1",1.8799476326482,1.04347691133494,0.836470721313255
"Smp_000980.1",7.63907071218283,6.15338899282012,1.48568171936271
"Smp_000990.1",4.90558571317261,4.29672561583463,0.608860097337978
"Smp_001000.1",5.19118716319639,3.41772717649979,1.77345998669661
"Smp_001020.1",4.35456838396931,4.90720782214884,-0.552639438179532
"Smp_001030.1",4.04198333012535,3.17416787618491,0.867815453940445
"Smp_001040.1",5.31379851292694,4.50016953278692,0.813628980140022
"Smp_001070.1",2.8471679202776,2.70240135361368,0.144766566663922
"Smp_001080.1",7.31799701752625,6.56414865914896,0.753848358377287
"Smp_001090.1",4.74583021066845,2.84266224964792,1.90316796102054
"Smp_001095.1",3.87360878567918,3.34915860410076,0.524450181578418
"Smp_001100.1",1.75437787364637,2.35399862555508,-0.59962075190871
"Smp_001120.1",4.8407137828111,3.6790471664801,1.16166661633101
"Smp_001160.1",2.11675199646672,2.49561652165431,-0.378864525187593
"Smp_001170.1",5.27640662466488,4.4480312343328,0.828375390332077
"Smp_001180.1",3.86645037645217,2.60592513232813,1.26052524412404
"Smp_001210.1",2.22448394588146,1.67059352786588,0.553890418015582
"Smp_001360.1",4.91354241197161,4.11712404805948,0.796418363912129
"Smp_001390.1",2.652339177621,1.19145859816942,1.46088057945158
"Smp_001410.1",2.72008295476764,2.53728896340815,0.182793991359484
"Smp_001420.1",5.05270245698955,4.7210940493419,0.331608407647642
"Smp_001500.1",5.87357182690085,5.16396007524608,0.709611751654764
"Smp_001530.1",4.46988343723312,3.77254031309727,0.697343124135852
"Smp_001560.1",1.68491970023628,2.24579789245379,-0.560878192217508
"Smp_001590.1",4.29731344608706,3.99857253298503,0.298740913102028
"Smp_001610.1",3.51268617457978,3.59866301241208,-0.0859768378322983
"Smp_001640.1",6.93541163359484,6.29451726042695,0.640894373167897
"Smp_001780.1",1.71994216206585,0.945632359298672,0.774309802767178
"Smp_001830.1",9.15893179608483,7.87919602618668,1.27973576989815
"Smp_001890.1",0.286785359117837,1.06365881030676,-0.776873451188922
"Smp_001900.1",1.0095750613748,0.358971775007312,0.650603286367483
"Smp_001940.1",5.89257487280926,5.71167761766699,0.180897255142268
"Smp_001950.1",5.26308809262688,4.28567171301792,0.977416379608961
"Smp_001960.1",4.94005621795109,4.7514352306343,0.188620987316788
"Smp_001980.1",2.23073762160661,1.60494486128727,0.625792760319338
"Smp_002010.1",4.2348129868914,3.26751452912408,0.967298457767318
"Smp_002060.1",0.298775603076542,1.89692792528333,-1.59815232220679
"Smp_002070.1",0.688834739295582,2.40537646569826,-1.71654172640267
"Smp_002080.1",5.86210962206789,5.1143794563532,0.747730165714686
"Smp_002100.1",4.65710964299982,3.57075643229864,1.08635321070117
"Smp_002160.1",4.03553593783881,3.66771009163973,0.367825846199084
"Smp_002180.1",8.51076938890215,7.81603157251782,0.694737816384327
"Smp_002230.1",4.09589480648061,4.11199239581171,-0.0160975893311015
"Smp_002280.1",4.28087623609693,3.51229003043122,0.768586205665707
"Smp_002380.1",4.42361675886059,3.71877713682511,0.704839622035474
"Smp_002410.1",7.35014782858816,6.85115190731608,0.498995921272077
"Smp_002510.1",7.76988319609265,6.36540593783361,1.40447725825904
"Smp_002550.1",7.44769778259584,6.53131186850031,0.916385914095532
"Smp_002600.1",4.76042956318572,3.73300128417103,1.02742827901469
"Smp_002600.2",0,0.107296548568982,-0.107296548568982
"Smp_002630.1",0.391007685742482,1.06270030995964,-0.671692624217154
"Smp_002640.1",5.75407287086156,5.13648894216191,0.617583928699654
"Smp_002740.1",6.52021307401354,5.66247904634471,0.857734027668831
"Smp_002820.1",7.00987515227839,6.97435026142219,0.0355248908561991
"Smp_002840.1",5.78032044147075,6.14275187304797,-0.362431431577215
"Smp_002860.1",0,0,0
"Smp_002870.1",4.47205645815372,3.45430164201001,1.01775481614372
"Smp_002880.1",6.74662500300905,6.711221579793,0.0354034232160476
"Smp_002920.1",6.38696465564718,4.84671633226218,1.540248323385
"Smp_002950.1",3.25443365068946,2.64385077029982,0.610582880389638
"Smp_003000.1",2.77222350556285,1.94115225865921,0.831071246903643
"Smp_003130.1",4.99974615351003,4.60990553561074,0.389840617899293
"Smp_003140.1",2.7079750658777,0.572284597518666,2.13569046835904
"Smp_003140.2",4.23688970667673,3.73769669558236,0.499193011094369
"Smp_003190.1",2.59818604844862,3.20148514188927,-0.603299093440647
"Smp_003230.1",2.19969998150523,3.13107447290325,-0.931374491398024
"Smp_003250.1",2.92296410040399,2.20013176297311,0.722832337430881
"Smp_003250.2",0.0293101111054073,0.0592514979616748,-0.0299413868562674
"Smp_003270.1",6.70633779814625,6.48098501676122,0.225352781385031
"Smp_003280.1",0.247003893027347,0.15164033188153,0.0953635611458172
"Smp_003300.1",0.186576620404241,0.558780151170223,-0.372203530765982
"Smp_003330.1",4.98271810198805,4.21719814128922,0.765519960698833
"Smp_003340.1",4.25660559565303,3.20608720417462,1.05051839147841
"Smp_003410.1",8.85809885601056,8.54776585906718,0.31033299694338
"Smp_003440.1",1.49331018757521,0.704460914599421,0.788849272975793
"Smp_003600.1",0.0628069674732708,0.0739205882534646,-0.0111136207801938
"Smp_003610.1",1.0383778826747,1.06202282166282,-0.0236449389881228
"Smp_003620.1",3.44535724349476,2.74046370249346,0.70489354100129
"Smp_003630.1",4.74272559989017,4.70569603284867,0.0370295670414995
"Smp_003660.1",8.70773282452883,9.12631058648021,-0.418577761951383
"Smp_003670.1",4.24105457018215,3.69725888255652,0.543795687625629
"Smp_003670.2",3.00701066669226,2.41447659187772,0.592534074814544
"Smp_003700.1",5.74899379938679,5.67112434681297,0.0778694525738146
"Smp_003710.1",7.02938807127844,5.92588725226446,1.10350081901397
"Smp_003770.1",12.5430005919032,11.2203519316684,1.32264866023477
"Smp_003860.1",3.67285344770473,2.98483599972504,0.688017447979686
"Smp_003900.1",1.1930740356027,0.457481909055983,0.735592126546716
