"Gene","Target","OthersMean","Log2FC"
"Smp_204820.1",6.22625370439471,0,6.22625370439471
"Smp_348200.1",8.33517576129693,3.15659744048315,5.17857832081378
"Smp_182600.1",6.48337335817985,1.56197858626753,4.92139477191232
"Smp_328980.1",8.36126244156255,3.55535289939265,4.8059095421699
"Smp_300080.1",10.3247786830346,5.66065932178808,4.66411936124656
"Smp_300070.1",8.81765071705731,4.1750766109257,4.64257410613161
"Smp_014570.1",9.66025664892127,5.24789070633996,4.41236594258131
"Smp_200770.1",7.08027370360236,2.77258101649034,4.30769268711202
"Smp_142980.1",6.53851829850108,2.30380993596225,4.23470836253883
"Smp_051670.1",4.98751360657159,0.775943840837353,4.21156976573424
"Smp_010550.3",9.99771947999769,5.86753671445709,4.1301827655406
"Smp_327410.1",4.6174130991862,0.505814235825151,4.11159886336105
"Smp_152630.1",6.50289139578565,2.40646138192813,4.09643001385752
"Smp_020800.2",4.08444606909959,0,4.08444606909959
"Smp_307210.1",4.8645471571349,0.865965595255385,3.99858156187951
"Smp_081900.1",6.41246596055425,2.47691274192941,3.93555321862483
"Smp_321760.1",7.85895421233399,3.93872872435202,3.92022548798197
"Smp_010550.2",5.3412399130502,1.43599630376866,3.90524360928154
"Smp_319430.1",4.50203030605859,0.656687319127227,3.84534298693137
"Smp_150000.1",6.38012785388775,2.53527907102685,3.8448487828609
