gene,degree,weighted_degree,betweenness,pagerank,mean_log_expression,variance_log_expression,hub_status,degree_rank,weighted_degree_rank,media_simpatrica,media_alopatrica,delta_alopatrica_menos_simpatrica,delta_pareado_geracao_2,delta_pareado_geracao_3,delta_pareado_medio,abs_delta_pareado_medio,direcao_condicao,rotulo
Smp_322700.1,75,73.31828752143147,0.0075352344991538,0.0029360528433778,3.241844614252172,4.794368740171649,hub,1,1,1.9721954028385724,4.511493825665772,2.5392984228271995,4.790743110702499,0.28785373495190036,2.5392984228271995,2.5392984228271995,maior_alopatrica_forte,Smp_322700.1
Smp_066970.1,71,69.5682038765076,0.0035673757106817,0.0027825892647635,1.4436137390720951,0.6474846602850336,hub,2,2,0.9624628630326263,1.9247646151115636,0.9623017520789373,1.7349258026838372,0.18967770147403762,0.9623017520789374,0.9623017520789374,maior_alopatrica_moderada,Smp_066970.1
Smp_177100.1,71,69.55499562295553,0.0037717565391912,0.0027877883499043,4.374232491417056,0.5956384981543305,hub,2,3,3.891739194436158,4.856725788397952,0.9649865939617941,1.6727890157753271,0.2571841721482606,0.9649865939617939,0.9649865939617939,maior_alopatrica_moderada,Smp_177100.1
Smp_341200.2,71,69.47282091284987,0.005673086733515,0.0028048017526219,2.219415759943121,1.183640891253307,hub,2,4,1.5967990051319403,2.8420325147543015,1.2452335096223612,2.4019771665452065,0.08848985269951593,1.2452335096223612,1.2452335096223612,maior_alopatrica_forte,Smp_341200.2
Smp_012350.1,71,69.42288744591778,0.0050930102374721,0.0028043276253487,1.5642269384392768,1.1089695298377824,hub,2,5,0.9859900679605913,2.142463808917962,1.1564737409573709,2.2926707457676754,0.0202767361470666,1.156473740957371,1.156473740957371,maior_alopatrica_forte,Smp_012350.1
Smp_210520.2,71,69.38570721546081,0.0052507438838734,0.0028275379426859,1.512737248533854,1.1063180075612935,hub,2,6,0.8110973818400804,2.2143771152276277,1.4032797333875473,2.344765164703008,0.4617943020720867,1.4032797333875473,1.4032797333875473,maior_alopatrica_forte,Smp_210520.2
Smp_138290.1,70,68.58197116238378,0.005245156416851,0.0027439318834429,4.94238027949145,0.4962585910158721,hub,7,7,4.520465337500067,5.364295221482834,0.8438298839827674,1.4825095002844133,0.2051502676811232,0.8438298839827683,0.8438298839827683,maior_alopatrica_moderada,Smp_138290.1
Smp_152630.1,70,68.53393042273632,0.004641449602876,0.00274523816681,3.008076727410164,4.065358675268367,hub,7,8,1.8643375158433777,4.15181593897695,2.287478423133572,4.229307046664656,0.3456497996024881,2.287478423133572,2.287478423133572,maior_alopatrica_forte,Smp_152630.1
Smp_149380.2,70,68.48923348749814,0.0043475368107241,0.0027792551861874,1.426396834403835,0.9693012604950978,hub,7,9,0.7761130274398744,2.076680641367796,1.3005676139279214,2.1532469536838295,0.44788827417201293,1.3005676139279212,1.3005676139279212,maior_alopatrica_forte,Smp_149380.2
Smp_302310.2,70,68.39492852759817,0.0056645014357901,0.0027794386477167,2.038421776349284,0.8404553233455235,hub,7,10,2.5134431998165225,1.563400352882046,-0.9500428469344766,-1.8425237994201433,-0.0575618944488101,-0.9500428469344767,0.9500428469344767,maior_simpatrica_moderada,Smp_302310.2
Smp_022320.3,70,68.36418863634563,0.0063577460337428,0.0027879124867371,2.0341557758107154,1.8399417696037104,hub,7,11,1.3433342991842459,2.724977252437186,1.38164295325294,2.695027462721994,0.06825844378388535,1.3816429532529397,1.3816429532529397,maior_alopatrica_forte,Smp_022320.3
Smp_139080.2,69,67.61310688772511,0.0031828751673457,0.0027067836502644,1.6310051266214054,1.1999155931331145,hub,12,12,0.9953082793264358,2.2667019739163754,1.2713936945899396,2.2985430712968586,0.24424431788302003,1.2713936945899393,1.2713936945899393,maior_alopatrica_forte,Smp_139080.2
Smp_302270.1,69,67.4531951467272,0.005585382078078,0.0027141329894019,4.825060156081327,0.9296788922646332,hub,12,13,4.24537543507399,5.404744877088664,1.1593694420146736,1.950788599092129,0.3679502849372165,1.1593694420146727,1.1593694420146727,maior_alopatrica_forte,Smp_302270.1
Smp_133860.1,69,67.33419565965261,0.0063742959695213,0.0027596837621667,2.220986101713509,1.220810956247516,hub,12,14,1.682138956236287,2.7598332471907323,1.0776942909544454,2.19302497845019,-0.0376363965412998,1.0776942909544451,1.0776942909544451,maior_alopatrica_forte,Smp_133860.1
Smp_145290.1,68,66.51956855967364,0.0042339912461683,0.0027320448084372,1.9033150691294585,0.5725871513266172,hub,15,15,2.407686962428688,1.3989431758302286,-1.0087437865984592,-1.7011796371514099,-0.316307936045509,-1.0087437865984594,1.0087437865984594,maior_simpatrica_forte,Smp_145290.1
Smp_336870.2,68,66.51435276955154,0.0039845980802835,0.0027245818073559,0.9893593390205352,0.476264232024728,hub,15,16,0.5313447788356784,1.447373899205392,0.9160291203697135,1.5592416754347442,0.2728165653046828,0.9160291203697135,0.9160291203697135,maior_alopatrica_moderada,Smp_336870.2
Smp_134410.1,68,66.51062280533453,0.0055295826531238,0.0026954168961591,3.83786800689414,6.592200215093551,hub,15,17,2.4279959446233974,5.247740069164883,2.8197441245414856,5.114858348866161,0.5246299002168104,2.8197441245414856,2.8197441245414856,maior_alopatrica_forte,Smp_134410.1
Smp_331170.2,68,66.49431700417337,0.0047979221995706,0.0026788810070133,1.4661828703806288,0.9776086264600666,hub,15,18,0.8785829008184254,2.053782839942832,1.1751999391244068,1.9908735590649191,0.35952631918389466,1.1751999391244068,1.1751999391244068,maior_alopatrica_forte,Smp_331170.2
Smp_336310.2,67,65.6416209905109,0.002825327597164,0.0026429276491626,1.594010015877928,1.1368962720555846,hub,19,19,1.001322459713973,2.1866975720418833,1.1853751123279104,2.198557643396347,0.1721925812594738,1.1853751123279104,1.1853751123279104,maior_alopatrica_forte,Smp_336310.2
Smp_041500.2,67,65.56835988132048,0.0038373487215374,0.0026756266759817,4.424188576886111,0.909829453314204,hub,19,20,3.85381030383148,4.9945668499407425,1.1407565461092624,2.180883721750693,0.10062937046783205,1.1407565461092626,1.1407565461092626,maior_alopatrica_forte,Smp_041500.2
Smp_201330.1,67,65.5623259686061,0.003113052510489,0.0026392406222672,3.2579220958097945,0.4875961271720432,hub,19,21,2.8254256683842947,3.6904185232352944,0.8649928548509997,1.4278941290768485,0.30209158062515096,0.8649928548509997,0.8649928548509997,maior_alopatrica_moderada,Smp_201330.1
