"__glayCluster","degree","hub_status","mean_log_expression","name","selected","shared name","variance_log_expression","weighted_degree"
"1","1","non_hub","3.375008159169228","Smp_346960.1","false","Smp_346960.1","0.7834355780145851","0.9760689901617162"
"2","1","non_hub","2.486187100012594","Smp_335670.1","false","Smp_335670.1","0.8402590963931175","0.9793258332616319"
"2","1","non_hub","0.9747664064606253","Smp_348240.1","false","Smp_348240.1","0.842112522309925","0.9793258332616319"
"3","1","non_hub","2.123186259083803","Smp_137840.2","false","Smp_137840.2","0.8714236795250937","0.9807604040976765"
"4","2","non_hub","1.9436637982742435","Smp_058140.1","false","Smp_058140.1","0.8163579672114246","1.96331338575889"
"4","2","non_hub","0.6720006080591996","Smp_056460.1","false","Smp_056460.1","0.8217703743483398","1.9624329067471846"
"4","3","non_hub","0.5842319674132046","Smp_328620.2","false","Smp_328620.2","0.8670852944364337","2.9568322665069324"
"4","3","non_hub","0.6291734173777038","Smp_141010.2","false","Smp_141010.2","0.9198859297331835","2.9664962995754802"
"5","1","non_hub","0.7641686072398407","Smp_140260.1","false","Smp_140260.1","0.7924825226657785","0.9852672883725689"
"6","2","non_hub","1.9824735353913474","Smp_345970.1","false","Smp_345970.1","0.7452564060451858","1.9686867826020973"
"6","2","non_hub","2.521567599629824","Smp_130520.1","false","Smp_130520.1","0.9314042953419891","1.9837036655966596"
"6","2","non_hub","1.1685174432337038","Smp_246050.3","false","Smp_246050.3","0.9772260461672261","1.982362894537789"
"7","2","non_hub","4.458716659756698","Smp_007630.2","false","Smp_007630.2","0.8886756887120563","1.9772950356613495"
"1","2","non_hub","5.727835011110378","Smp_179390.1","false","Smp_179390.1","0.7775989475581406","1.9734170284196706"
"1","1","non_hub","0.9746569761367138","Smp_320100.1","false","Smp_320100.1","0.9928608678277513","0.9973480382579543"
"8","3","non_hub","2.910622593865093","Smp_205300.2","false","Smp_205300.2","0.7959474464841169","2.9575279997730166"
"9","1","non_hub","3.152905180664644","Smp_193680.1","false","Smp_193680.1","0.7253864083868268","0.9958063610328264"
"9","1","non_hub","5.672785672220916","Smp_335785.1","false","Smp_335785.1","1.0864032917473323","0.9958063610328264"
"5","3","non_hub","0.6437219845810968","Smp_203090.1","false","Smp_203090.1","0.7213707312237806","2.969694678379078"
"5","4","non_hub","3.9450848553732456","Smp_055870.2","false","Smp_055870.2","0.7363535602432628","3.9363429420402722"
"5","4","non_hub","1.103304828240736","Smp_154900.1","false","Smp_154900.1","0.7961872603516312","3.9285596195159282"
"5","4","non_hub","0.8528302134993394","Smp_317510.1","false","Smp_317510.1","1.1608769146668394","3.94656831600257"
"10","3","non_hub","6.2385136072425125","Smp_341710.1","false","Smp_341710.1","0.7061215453541562","2.959221191404872"
"10","3","non_hub","1.0838439075021082","Smp_181080.2","false","Smp_181080.2","1.0631142855447109","2.964106002416752"
"10","3","non_hub","1.1660931370407357","Smp_246970.1","false","Smp_246970.1","1.171415910048901","2.970943037178937"
"5","3","non_hub","2.2855334002339887","Smp_322980.1","false","Smp_322980.1","0.8314005384440071","2.9446388816987072"
"5","3","non_hub","0.9846581527434725","Smp_323420.1","false","Smp_323420.1","0.8463064646098232","2.9561084473019736"
"5","3","non_hub","1.1474090943394775","Smp_335380.1","false","Smp_335380.1","1.101146027239278","2.9480232106481066"
"5","3","non_hub","1.1056956593752405","Smp_312620.1","false","Smp_312620.1","1.1973285962383942","2.9668235300079506"
"3","3","non_hub","1.1611025239821269","Smp_332600.2","false","Smp_332600.2","1.0392605662069117","2.9383944332520517"
"10","2","non_hub","1.7454793617265152","Smp_169220.1","false","Smp_169220.1","0.7207739629457834","1.9487186139317503"
"11","3","non_hub","1.2203358830306323","Smp_307220.3","false","Smp_307220.3","1.0887469759639927","2.9562790028472614"
"11","4","non_hub","1.347843589767267","Smp_332090.1","false","Smp_332090.1","1.219681989105862","3.9538843976194005"
