glay,degree,hub_status,mean_log_expression,gene,selected,shared name,variance_log_expression,weighted_degree,rede,media_simpatrica,media_alopatrica,delta_alopatrica_menos_simpatrica,abs_delta,delta_geracao_2,delta_geracao_3,delta_medio_pareado,abs_delta_medio_pareado
1,1,non_hub,3.375008159169228,Smp_346960.1,False,Smp_346960.1,0.7834355780145851,0.9760689901617162,positiva,2.717434872293591,4.032581446044865,1.3151465737512735,1.3151465737512735,1.459552474487554,1.170740673014992,1.315146573751273,1.315146573751273
2,1,non_hub,2.486187100012594,Smp_335670.1,False,Smp_335670.1,0.8402590963931175,0.979325833261632,positiva,3.131244527770868,1.8411296722543202,-1.2901148555165478,1.2901148555165478,-0.9709411949065421,-1.6092885161265538,-1.2901148555165478,1.2901148555165478
2,1,non_hub,0.9747664064606252,Smp_348240.1,False,Smp_348240.1,0.842112522309925,0.979325833261632,positiva,1.522348241370437,0.4271845715508136,-1.0951636698196234,1.0951636698196234,-0.8288135317506206,-1.3615138078886262,-1.0951636698196234,1.0951636698196234
3,1,non_hub,2.123186259083803,Smp_137840.2,False,Smp_137840.2,0.8714236795250937,0.9807604040976764,positiva,2.765700840122231,1.480671678045375,-1.2850291620768561,1.2850291620768561,-1.474459728401353,-1.0955985957523593,-1.2850291620768561,1.2850291620768561
4,2,non_hub,1.9436637982742435,Smp_058140.1,False,Smp_058140.1,0.8163579672114246,1.96331338575889,positiva,1.4764601491351406,2.410867447413347,0.9344072982782063,0.9344072982782063,2.0788285230888635,-0.21001392653245143,0.934407298278206,0.934407298278206
4,2,non_hub,0.6720006080591996,Smp_056460.1,False,Smp_056460.1,0.8217703743483398,1.9624329067471848,positiva,0.3849962844599542,0.959004931658445,0.5740086471984909,0.5740086471984909,1.91800986331689,-0.7699925689199084,0.5740086471984909,0.5740086471984909
4,3,non_hub,0.5842319674132046,Smp_328620.2,False,Smp_328620.2,0.8670852944364337,2.9568322665069324,positiva,0.1911753690206693,0.9772885658057399,0.7861131967850705,0.7861131967850705,1.9545771316114797,-0.3823507380413386,0.7861131967850705,0.7861131967850705
4,3,non_hub,0.6291734173777038,Smp_141010.2,False,Smp_141010.2,0.9198859297331836,2.96649629957548,positiva,0.24573159769370714,1.0126152370617005,0.7668836393679934,0.7668836393679934,2.025230474123401,-0.4914631953874143,0.7668836393679934,0.7668836393679934
5,1,non_hub,0.7641686072398407,Smp_140260.1,False,Smp_140260.1,0.7924825226657785,0.9852672883725688,positiva,0.6920290490610719,0.8363081654186095,0.14427911635753765,0.14427911635753765,-1.3840580981221438,1.672616330837219,0.14427911635753765,0.14427911635753765
6,2,non_hub,1.9824735353913476,Smp_345970.1,False,Smp_345970.1,0.7452564060451858,1.9686867826020973,positiva,1.9521506963812454,2.012796374401449,0.06064567802020382,0.06064567802020382,-1.3074472685302823,1.4287386245706903,0.06064567802020404,0.06064567802020404
6,2,non_hub,2.521567599629824,Smp_130520.1,False,Smp_130520.1,0.9314042953419892,1.98370366559666,positiva,2.5730643272583738,2.4700708720012745,-0.10299345525709924,0.10299345525709924,-1.5222278462260665,1.3162409357118683,-0.10299345525709913,0.10299345525709913
6,2,non_hub,1.1685174432337038,Smp_246050.3,False,Smp_246050.3,0.977226046167226,1.982362894537789,positiva,1.1859812409883401,1.1510536454790676,-0.03492759550927249,0.03492759550927249,-1.463143426947792,1.3932882359292469,-0.0349275955092726,0.0349275955092726
7,2,non_hub,4.458716659756698,Smp_007630.2,False,Smp_007630.2,0.8886756887120563,1.9772950356613492,positiva,4.725772738438351,4.191660581075045,-0.5341121573633067,0.5341121573633067,-0.06086670324198096,-1.0073576114846334,-0.5341121573633072,0.5341121573633072
1,2,non_hub,5.727835011110378,Smp_179390.1,False,Smp_179390.1,0.7775989475581406,1.9734170284196704,positiva,5.158850806734867,6.296819215485891,1.137968408751024,1.137968408751024,1.5057543063509184,0.7701825111511305,1.1379684087510245,1.1379684087510245
1,1,non_hub,0.9746569761367138,Smp_320100.1,False,Smp_320100.1,0.9928608678277512,0.9973480382579544,positiva,0.3740257762496581,1.5752881760237694,1.2012623997741112,1.2012623997741112,1.6196256339776136,0.7828991655706088,1.2012623997741112,1.2012623997741112
8,3,non_hub,2.910622593865093,Smp_205300.2,False,Smp_205300.2,0.7959474464841169,2.9575279997730166,positiva,3.6495030645281745,2.1717421232020113,-1.4777609413261632,1.4777609413261632,-1.2389643815566642,-1.7165575010956626,-1.4777609413261634,1.4777609413261634
9,1,non_hub,3.152905180664644,Smp_193680.1,False,Smp_193680.1,0.7253864083868268,0.9958063610328264,positiva,2.9969166885780174,3.308893672751271,0.3119769841732536,0.3119769841732536,-0.2152292284468138,0.8391831967933214,0.3119769841732538,0.3119769841732538
9,1,non_hub,5.672785672220916,Smp_335785.1,False,Smp_335785.1,1.0864032917473323,0.9958063610328264,positiva,5.461123954324881,5.88444739011695,0.423323435792069,0.423323435792069,-0.06761688515959552,0.9142637567437344,0.42332343579206944,0.42332343579206944
5,3,non_hub,0.6437219845810968,Smp_203090.1,False,Smp_203090.1,0.7213707312237806,2.969694678379078,positiva,1.2874439691621935,0.0,-1.2874439691621935,1.2874439691621935,-1.7907332596995735,-0.7841546786248136,-1.2874439691621935,1.2874439691621935
5,4,non_hub,3.9450848553732456,Smp_055870.2,False,Smp_055870.2,0.7363535602432628,3.936342942040272,positiva,4.575806484864467,3.3143632258820253,-1.2614432589824416,1.2614432589824416,-1.920012895027352,-0.6028736229375307,-1.2614432589824414,1.2614432589824414
5,4,non_hub,1.103304828240736,Smp_154900.1,False,Smp_154900.1,0.7961872603516312,3.928559619515928,positiva,1.830724530918668,0.3758851255628044,-1.4548394053558635,1.4548394053558635,-1.9131911665315298,-0.9964876441801973,-1.4548394053558635,1.4548394053558635
5,4,non_hub,0.8528302134993394,Smp_317510.1,False,Smp_317510.1,1.1608769146668394,3.94656831600257,positiva,1.7056604269986788,0.0,-1.7056604269986788,1.7056604269986788,-2.241082340899858,-1.1702385130974995,-1.7056604269986788,1.7056604269986788
10,3,non_hub,6.2385136072425125,Smp_341710.1,False,Smp_341710.1,0.7061215453541562,2.959221191404872,positiva,6.07206872199309,6.404958492491936,0.3328897704988458,0.3328897704988458,0.3136702130260023,0.35210932797169026,0.33288977049884627,0.33288977049884627
10,3,non_hub,1.0838439075021082,Smp_181080.2,False,Smp_181080.2,1.0631142855447109,2.964106002416752,positiva,0.7612850222856119,1.4064027927186047,0.6451177704329928,0.6451177704329928,0.78218016106537,0.5080553798006154,0.6451177704329927,0.6451177704329927
10,3,non_hub,1.1660931370407357,Smp_246970.1,False,Smp_246970.1,1.171415910048901,2.970943037178937,positiva,0.8648009644598815,1.4673853096215899,0.6025843451617083,0.6025843451617083,0.6475576441461319,0.557611046177285,0.6025843451617084,0.6025843451617084
5,3,non_hub,2.2855334002339887,Smp_322980.1,False,Smp_322980.1,0.8314005384440071,2.9446388816987072,positiva,2.7263791236927104,1.844687676775267,-0.8816914469174435,0.8816914469174435,-2.16213672380278,0.3987538299678932,-0.8816914469174435,0.8816914469174435
5,3,non_hub,0.9846581527434723,Smp_323420.1,False,Smp_323420.1,0.8463064646098232,2.9561084473019736,positiva,1.5599331457670311,0.40938315971991385,-1.1505499860471173,1.1505499860471173,-2.2232449052406316,-0.07785506685360288,-1.1505499860471171,1.1505499860471171
5,3,non_hub,1.1474090943394777,Smp_335380.1,False,Smp_335380.1,1.101146027239278,2.9480232106481066,positiva,1.8171013035704995,0.47771688510845534,-1.339384418462044,1.339384418462044,-2.4368041254173796,-0.24196471150670862,-1.339384418462044,1.339384418462044
5,3,non_hub,1.1056956593752405,Smp_312620.1,False,Smp_312620.1,1.1973285962383942,2.96682353000795,positiva,1.705275405467305,0.5061159132831761,-1.1991594921841289,1.1991594921841289,-2.611281935703969,0.2129629513357112,-1.1991594921841289,1.1991594921841289
3,3,non_hub,1.1611025239821269,Smp_332600.2,False,Smp_332600.2,1.0392605662069117,2.938394433252052,positiva,1.9909792351248163,0.33122581283943753,-1.659753422285379,1.659753422285379,-2.258915046141574,-1.0605917984291837,-1.659753422285379,1.659753422285379
10,2,non_hub,1.7454793617265152,Smp_169220.1,False,Smp_169220.1,0.7207739629457834,1.9487186139317505,positiva,1.8115106163777832,1.6794481070752476,-0.1320625093025356,0.1320625093025356,-1.0263055122313158,0.7621804936262442,-0.13206250930253582,0.13206250930253582
11,3,non_hub,1.2203358830306323,Smp_307220.3,False,Smp_307220.3,1.0887469759639927,2.9562790028472614,positiva,0.7788640879565211,1.6618076781047435,0.8829435901482224,0.8829435901482224,2.4597403223459287,-0.6938531420494838,0.8829435901482224,0.8829435901482224
11,4,non_hub,1.347843589767267,Smp_332090.1,False,Smp_332090.1,1.219681989105862,3.953884397619401,positiva,0.9117071613646752,1.783980018169859,0.8722728568051838,0.8722728568051838,2.570035402488051,-0.8254896888776837,0.8722728568051837,0.8722728568051837
10,4,non_hub,1.3320907257998094,Smp_129410.1,False,Smp_129410.1,0.8399148330688444,3.913033851091442,positiva,1.1711937499559844,1.4929877016436346,0.32179395168765024,0.32179395168765024,0.6277307271484924,0.015857176226808267,0.32179395168765035,0.32179395168765035
10,2,non_hub,3.434206647928712,Smp_349140.1,False,Smp_349140.1,1.2309659827103652,1.9528323122526303,positiva,3.444545981587601,3.4238673142698235,-0.020678667317777677,0.020678667317777677,0.45013657873851987,-0.49149391337407566,-0.0206786673177779,0.0206786673177779
12,3,non_hub,2.96869999345252,Smp_323240.1,False,Smp_323240.1,1.2400563875157595,2.978446568506321,positiva,3.0947661373613484,2.8426338495436907,-0.25213228781765773,0.25213228781765773,1.4129602315918481,-1.9172248072271638,-0.25213228781765784,0.25213228781765784
12,4,non_hub,4.23632168363265,Smp_000500.1,False,Smp_000500.1,1.3230595867065378,3.932522333264228,positiva,4.2773958342975344,4.195247532967766,-0.08214830132976836,0.08214830132976836,1.6526401430740352,-1.8169367457335714,-0.08214830132976814,0.08214830132976814
13,1,non_hub,0.9699298010466918,Smp_051670.1,False,Smp_051670.1,0.8935241592044928,0.998716877746149,positiva,0.590659111554034,1.3492004905393495,0.7585413789853155,0.7585413789853155,-0.6709952808011566,2.1880780387717875,0.7585413789853155,0.7585413789853155
13,1,non_hub,2.518613096978831,Smp_346380.2,False,Smp_346380.2,1.3422014272361764,0.998716877746149,positiva,2.014819197500935,3.022406996456727,1.0075877989557922,1.0075877989557922,-0.69317861947862,2.7083542173902044,1.0075877989557922,1.0075877989557922
14,3,non_hub,0.802471844530189,Smp_343390.1,False,Smp_343390.1,1.0073053886144907,2.9517660434344952,positiva,0.5663384286429156,1.0386052604174625,0.47226683177454687,0.47226683177454687,0.0,0.9445336635490937,0.47226683177454687,0.47226683177454687
14,3,non_hub,0.9491800051909516,Smp_091190.2,False,Smp_091190.2,1.3862753587887522,2.9570152793490045,positiva,0.685775528352317,1.212584482029586,0.5268089536772689,0.5268089536772689,0.0,1.0536179073545378,0.5268089536772689,0.5268089536772689
15,4,non_hub,1.237453381505664,Smp_170770.1,False,Smp_170770.1,1.0408214374914693,3.95769053174864,positiva,0.41139606830937797,2.0635106947019497,1.6521146263925717,1.6521146263925717,1.898452941637587,1.405776311147556,1.6521146263925717,1.6521146263925717
15,5,non_hub,2.285418495645005,Smp_131390.1,False,Smp_131390.1,1.1573478490668057,4.93080261485749,positiva,1.4120580504517477,3.1587789408382623,1.7467208903865146,1.7467208903865146,2.0169164594808358,1.476525321292193,1.7467208903865143,1.7467208903865143
15,4,non_hub,3.2231294385102283,Smp_019840.1,False,Smp_019840.1,1.396315703623044,3.9652172134441415,positiva,2.240688542425891,4.205570334594567,1.964881792168676,1.964881792168676,2.2014966616098643,1.728266922727487,1.9648817921686756,1.9648817921686756
7,3,non_hub,4.048848469208856,Smp_018240.2,False,Smp_018240.2,0.7113866741288254,2.9494719680801573,positiva,4.1076423488290565,3.990054589588655,-0.11758775924040155,0.11758775924040155,1.2272710282720327,-1.462446546752835,-0.1175877592404011,0.1175877592404011
7,2,non_hub,8.406703711680583,Smp_068920.2,False,Smp_068920.2,1.152721835871749,1.985574245668302,positiva,8.560847041104404,8.252560382256762,-0.30828665884764206,0.30828665884764206,1.3526289546349428,-1.969202272330226,-0.3082866588476416,0.3082866588476416
7,3,non_hub,1.6488046245211363,Smp_048050.1,False,Smp_048050.1,1.4580829094817058,2.934923785591224,positiva,1.8979351226722603,1.3996741263700123,-0.49826099630224796,0.49826099630224796,1.2237556404117262,-2.220277633016222,-0.49826099630224785,0.49826099630224785
7,2,non_hub,2.882236483402253,Smp_309740.1,False,Smp_309740.1,1.1425769762674316,1.968333331237286,positiva,2.7816955627754236,2.982777404029083,0.20108184125365947,0.20108184125365947,1.9420879508631685,-1.5399242683558498,0.20108184125365935,0.20108184125365935
15,7,non_hub,0.8954899638756133,Smp_344420.1,False,Smp_344420.1,0.8057832104139436,6.869539994104054,positiva,0.1282215433926162,1.6627583843586105,1.5345368409659943,1.5345368409659943,1.540970070920971,1.528103611011017,1.534536840965994,1.534536840965994
15,4,non_hub,1.020261516712687,Smp_163600.1,False,Smp_163600.1,1.430447146776676,3.950692604732721,positiva,0.0,2.040523033425374,2.040523033425374,2.040523033425374,1.7879292979621422,2.2931167688886056,2.040523033425374,2.040523033425374
16,8,non_hub,2.159616789217699,Smp_314730.1,False,Smp_314730.1,0.7782496398476768,7.879334264764026,positiva,1.492150625089423,2.8270829533459754,1.3349323282565524,1.3349323282565524,2.074226292239772,0.5956383642733336,1.3349323282565528,1.3349323282565528
16,2,non_hub,2.3978309465593965,Smp_324700.1,False,Smp_324700.1,1.2709653660312854,1.94857736926727,positiva,1.6944803831956279,3.101181509923165,1.406701126727537,1.406701126727537,2.7520435774939904,0.0613586759610838,1.406701126727537,1.406701126727537
16,10,non_hub,1.533146880033606,Smp_310150.1,False,Smp_310150.1,1.5799740157600184,9.811088365941057,positiva,0.6071161908093639,2.459177569257848,1.852061378448484,1.852061378448484,2.994252591779836,0.7098701651171317,1.852061378448484,1.852061378448484
10,7,non_hub,3.872901243591243,Smp_340300.2,False,Smp_340300.2,0.7457801086254747,6.873301978538871,positiva,4.122093974390111,3.623708512792374,-0.4983854615977372,0.4983854615977372,-0.9048677436977917,-0.0919031794976819,-0.4983854615977368,0.4983854615977368
10,8,non_hub,3.328211281191916,Smp_000790.1,False,Smp_000790.1,0.834356990384452,7.860085570032873,positiva,3.559569511974571,3.0968530504092597,-0.4627164615653112,0.4627164615653112,-0.8720843961479545,-0.05334852698266834,-0.46271646156531143,0.46271646156531143
10,9,non_hub,1.2741724089196789,Smp_347490.1,False,Smp_347490.1,1.2073707209115143,8.839627269145215,positiva,1.4230616919372951,1.1252831259020626,-0.29777856603523256,0.29777856603523256,-1.0786657570442237,0.48310862497375845,-0.2977785660352327,0.2977785660352327
10,8,non_hub,1.292986627990838,Smp_063530.1,False,Smp_063530.1,1.5967135235089858,7.850868572963536,positiva,1.4218023173346173,1.1641709386470587,-0.2576313786875586,0.2576313786875586,-1.0960286120169327,0.5807658546418155,-0.2576313786875586,0.2576313786875586
12,2,non_hub,4.456603307586166,Smp_175240.1,False,Smp_175240.1,0.9708690290632516,1.9568478898362769,positiva,5.117522032632974,3.795684582539357,-1.321837450093617,1.321837450093617,-0.24551603998377303,-2.398158860203461,-1.321837450093617,1.321837450093617
16,9,non_hub,1.329573512883449,Smp_001890.1,False,Smp_001890.1,1.1426267558320888,8.852031711217657,positiva,0.5620303741959901,2.0971166515709077,1.5350862773749174,1.5350862773749174,2.5659631645544825,0.5042093901953526,1.5350862773749174,1.5350862773749174
14,4,non_hub,1.827850117459881,Smp_086330.2,False,Smp_086330.2,0.6977314464696794,3.9162192479303055,positiva,1.5560430742813836,2.0996571606383787,0.5436140863569952,0.5436140863569952,0.4053512691482355,0.6818769035657546,0.543614086356995,0.543614086356995
10,7,non_hub,2.963908129519265,Smp_328360.1,False,Smp_328360.1,0.7101058534619523,6.903228478511415,positiva,3.183149055378415,2.7446672036601156,-0.43848185171829934,0.43848185171829934,-1.2557307407190579,0.3787670372824592,-0.43848185171829934,0.43848185171829934
10,9,non_hub,1.1362429633033138,Smp_082410.1,False,Smp_082410.1,0.923066820000324,8.885711303757184,positiva,1.4129550349428486,0.8595308916637794,-0.5534241432790692,0.5534241432790692,-1.2518337314780212,0.14498544491988274,-0.5534241432790692,0.5534241432790692
10,9,non_hub,2.1344931955961344,Smp_043500.2,False,Smp_043500.2,1.0161764417515895,8.891980409123592,positiva,2.35620632207094,1.9127800691213284,-0.4434262529496116,0.4434262529496116,-1.2017544263968927,0.3149019204976693,-0.4434262529496117,0.4434262529496117
10,9,non_hub,3.838091938380644,Smp_019690.2,False,Smp_019690.2,1.0998488214958655,8.893281539694613,positiva,4.085971414624169,3.59021246213712,-0.4957589524870487,0.4957589524870487,-1.3206958601591579,0.32917795518506043,-0.4957589524870487,0.4957589524870487
10,7,non_hub,2.266412663085166,Smp_150000.1,False,Smp_150000.1,0.7081549867137146,6.893184378894737,positiva,2.5460304106755003,1.986794915494833,-0.5592354951806673,0.5592354951806673,-1.3426894337288697,0.22421844336753516,-0.5592354951806673,0.5592354951806673
10,2,non_hub,0.4904564920166311,Smp_347540.2,False,Smp_347540.2,0.7197940299901896,1.9849481729321985,positiva,0.8773013911243888,0.1036115929088735,-0.7736897982155153,0.7736897982155153,-1.7546027822487775,0.207223185817747,-0.7736897982155153,0.7736897982155153
10,4,non_hub,2.038421776349284,Smp_302310.2,False,Smp_302310.2,0.8404553233455235,3.963633212533127,positiva,2.5134431998165225,1.563400352882046,-0.9500428469344766,0.9500428469344766,-1.8425237994201433,-0.0575618944488101,-0.9500428469344767,0.9500428469344767
10,3,non_hub,2.059921082965108,Smp_122790.2,False,Smp_122790.2,1.4722776704329477,2.9477758496188504,positiva,2.8101514387368125,1.3096907271934026,-1.5004607115434099,1.5004607115434099,-2.407639992609052,-0.5932814304777683,-1.50046071154341,1.50046071154341
10,5,non_hub,0.8828747632236191,Smp_060620.1,False,Smp_060620.1,1.5550939993732475,4.9357710901551215,positiva,1.5393479762611388,0.22640155018609945,-1.3129464260750394,1.3129464260750394,-2.277959655997695,-0.3479331961523837,-1.3129464260750394,1.3129464260750394
10,7,non_hub,1.236062621337813,Smp_318100.1,False,Smp_318100.1,1.652249780782952,6.899764968013184,positiva,1.6694251943347957,0.8027000483408301,-0.8667251459939657,0.8667251459939657,-2.0261274167760726,0.2926771247881412,-0.8667251459939657,0.8667251459939657
10,6,non_hub,2.267657350028229,Smp_017710.1,False,Smp_017710.1,1.6791758883744086,5.896305082192237,positiva,2.8885665488660033,1.6467481511904545,-1.2418183976755488,1.2418183976755488,-2.5556505412563366,0.07201374590523946,-1.2418183976755486,1.2418183976755486
17,1,non_hub,0.4920882457650788,Smp_245600.2,False,Smp_245600.2,0.7531085605748866,0.9777669993243636,positiva,0.09041637793574454,0.8937601135944131,0.8033437356586686,0.8033437356586686,0.0,1.6066874713173371,0.8033437356586686,0.8033437356586686
17,1,non_hub,0.9060917039888262,Smp_319970.1,False,Smp_319970.1,1.7159974942354193,0.9777669993243636,positiva,0.4233930688969141,1.3887903390807383,0.9653972701838243,0.9653972701838243,0.0,1.9307945403676485,0.9653972701838243,0.9653972701838243
3,5,non_hub,1.426052606062123,Smp_127680.1,False,Smp_127680.1,0.772577565639058,4.929146297705205,positiva,1.6962250958243943,1.155880116299852,-0.5403449795245423,0.5403449795245423,-1.7054883678022996,0.6247984087532146,-0.5403449795245425,0.5403449795245425
18,2,non_hub,4.471180102995437,Smp_049230.1,False,Smp_049230.1,1.39684439764177,1.9635276338984549,positiva,3.7023746383717953,5.239985567619077,1.5376109292472817,1.5376109292472817,1.1166562180512551,1.9585656404433087,1.537610929247282,1.537610929247282
10,6,non_hub,0.8035432419890725,Smp_028210.2,False,Smp_028210.2,0.7013598679472469,5.936263317591187,positiva,0.9436699890800776,0.6634164948980673,-0.2802534941820103,0.2802534941820103,-0.37357165933158476,-0.18693532903243582,-0.2802534941820103,0.2802534941820103
