Name,SRR1140994,SRR1140995,SRR1142422,SRR1142423
Smp_003000.1,50.543,182.144,174.17,229.366
Smp_003130.1,132.0,494.0,412.0,514.0
Smp_003140.1,8.2,6.601,20.48,35.954
Smp_003140.2,129.8,331.399,337.52,445.046
Smp_003190.1,24.0,101.0,80.0,87.0
Smp_003230.1,34.0,95.0,61.0,145.0
Smp_003250.1,83.093,197.906,202.818,215.605
Smp_003250.2,0.0,3.309,0.0,0.0
Smp_003270.1,941.013,3220.0,2750.0,4921.005
Smp_003280.1,7.0,14.005,4.008,24.032
Smp_003300.1,7.0,11.0,2.0,8.0
Smp_003330.1,29.0,107.0,70.0,113.0
Smp_003340.1,106.0,315.0,390.0,395.0
Smp_003410.1,792.0,3093.0,1779.0,2325.0
Smp_003440.1,10.0,12.0,27.0,10.0
Smp_003600.1,1.0,0.0,0.0,0.0
Smp_003610.1,10.958,29.674,42.476,39.364
Smp_003620.1,71.0,234.0,222.0,277.0
Smp_003630.1,338.0,1329.0,1157.0,1498.0
Smp_003660.1,3222.0,12161.0,9437.0,11144.0
Smp_003670.1,87.976,203.09,198.981,211.827
Smp_003670.2,14.024,58.91,69.019,159.173
Smp_003700.1,219.0,715.0,761.0,775.0
Smp_003710.1,1706.376,5367.987,5059.483,8235.681
Smp_003770.1,5808.0,19546.0,14011.0,24093.0
Smp_003860.1,68.445,183.494,101.12,159.751
Smp_003900.1,11.0,19.0,19.0,35.0
Smp_003930.1,76.0,147.0,135.0,147.0
Smp_003940.1,108.0,450.0,358.0,613.0
Smp_003970.1,330.0,1192.0,895.0,919.0
Smp_003980.1,560.961,2734.878,2165.509,3423.53
Smp_003990.1,2661.0,7360.0,6228.0,9658.0
Smp_004000.1,91.0,297.0,217.0,232.0
Smp_004060.1,26.0,33.0,32.0,38.0
Smp_004070.1,140.795,259.364,346.267,511.974
Smp_004080.1,40.0,110.0,121.0,243.0
Smp_004160.1,27.0,106.0,70.0,135.0
Smp_004170.1,235.869,493.657,721.904,932.126
Smp_004190.1,236.0,681.0,689.0,911.0
Smp_004200.1,240.0,925.0,790.0,973.0
Smp_004220.1,205.0,448.0,604.0,527.0
Smp_004260.1,125.0,548.0,381.0,725.0
Smp_004310.1,875.0,2766.0,2303.0,2662.0
Smp_004350.1,143.0,566.0,396.0,473.0
Smp_004360.1,198.0,692.0,657.0,789.0
Smp_004420.1,6.0,34.0,24.0,40.0
Smp_004440.1,19.0,67.0,71.0,140.0
Smp_004470.1,477.0,1489.0,1102.0,1756.0
Smp_004480.1,591.556,1725.325,2158.497,2021.936
Smp_004480.2,21.444,74.675,99.503,100.064
Smp_004550.1,495.629,1420.499,1197.15,1373.977
Smp_004590.1,164.0,531.0,419.0,514.0
Smp_004600.1,470.0,1270.0,1218.0,1278.0
Smp_004630.1,122.006,393.035,252.502,573.344
Smp_004630.2,0.0,0.0,104.082,11.364
Smp_004640.1,38.0,126.0,159.0,141.0
Smp_004680.1,5214.0,16408.0,15456.0,19743.0
Smp_004690.1,108.108,408.598,369.31,589.075
Smp_004690.2,39.892,408.402,474.696,570.925
Smp_004710.1,68.827,228.882,221.014,341.724
Smp_004730.1,63.0,184.0,149.0,375.0
Smp_004780.1,300.0,1275.0,813.0,1141.0
Smp_004810.1,651.0,1678.0,1531.0,2100.0
Smp_004820.1,40.0,195.0,92.0,164.0
Smp_004910.1,165.0,473.0,320.0,610.0
Smp_004940.1,320.0,1321.0,686.0,843.0
Smp_004990.1,290.0,898.0,681.0,798.0
Smp_005000.1,106.379,376.04,440.24,537.296
Smp_005010.1,182.156,804.774,619.981,622.609
Smp_005020.1,78.672,222.673,216.144,319.89
Smp_005070.1,79.968,169.006,161.02,224.004
Smp_005070.2,6.065,0.0,0.0,0.0
Smp_005080.1,451.0,1781.0,1356.192,1481.0
Smp_005140.1,2.0,11.0,5.0,12.0
Smp_005160.1,56.001,207.404,102.132,223.066
Smp_005160.2,5.999,57.596,80.868,91.934
Smp_005180.1,182.0,563.0,513.0,661.0
Smp_005190.1,93.865,0.0,0.0,0.0
Smp_005190.2,285.135,938.719,1021.704,924.507
Smp_005190.3,0.0,160.281,151.296,352.493
Smp_005210.1,274.541,907.971,967.474,1108.261
Smp_005230.1,260.0,709.0,578.0,862.0
Smp_005260.1,357.347,1015.327,969.223,1294.681
Smp_005260.2,253.653,435.673,704.777,913.319
Smp_005280.1,53.0,170.0,216.0,197.0
Smp_005290.1,528.0,1094.0,1013.0,1299.0
Smp_005320.1,113.0,314.0,188.0,272.0
Smp_005330.1,144.0,514.0,493.0,599.0
Smp_005390.1,243.433,704.254,781.872,873.351
Smp_005470.1,7.0,18.894,25.928,24.162
Smp_005500.1,23.0,59.0,65.0,50.0
Smp_005520.1,1187.931,4268.713,3935.303,5783.353
Smp_005640.1,7.0,40.0,18.0,80.0
Smp_005670.1,538.191,1637.03,1323.752,1736.314
Smp_005720.1,85.001,289.99,320.998,403.891
Smp_005780.1,66.0,273.0,213.0,345.0
Smp_005790.1,18.0,57.0,34.0,63.0
Smp_005880.1,1413.076,3918.805,3548.505,4975.182
Smp_005900.1,189.862,570.449,365.541,539.687
Smp_005910.1,167.0,518.0,365.0,740.0
Smp_005960.1,77.35,384.962,302.773,441.442
Smp_006000.1,169.0,497.0,452.0,469.0
Smp_006060.1,75.0,244.0,217.0,287.0
Smp_006190.1,153.0,475.0,315.0,514.0
Smp_006195.1,1.058,7.182,3.299,0.0
Smp_006250.1,200.0,618.0,642.0,911.0
Smp_006320.1,303.278,736.907,1085.989,1299.658
Smp_006320.2,409.722,1493.093,800.011,1282.342
Smp_006340.1,119.619,395.323,379.466,478.523
Smp_006350.1,810.381,2582.677,2361.534,3487.477
Smp_006390.1,610.0,1787.0,1453.0,1822.0
Smp_006440.1,126.0,380.0,350.0,604.0
Smp_006550.1,854.0,2962.0,1871.0,2609.0
Smp_006560.1,2298.0,6004.0,5196.0,8540.0
Smp_006590.1,59.0,311.0,209.0,295.0
Smp_006630.1,387.0,1427.0,1376.0,1310.0
Smp_006680.1,84.0,280.0,287.0,243.0
Smp_006690.1,169.39,463.072,382.43,555.18
Smp_006700.1,238.61,897.928,623.57,778.82
Smp_006710.1,36.0,190.0,134.0,193.0
Smp_006720.1,95.0,151.004,188.0,206.0
Smp_006730.1,83.0,342.0,319.0,469.0
Smp_006750.1,66.0,193.0,271.0,255.0
Smp_006760.1,4.0,17.0,12.0,10.0
Smp_006780.1,67.0,185.0,160.0,168.0
Smp_006810.1,52.0,178.0,203.0,214.0
Smp_006830.1,291.0,985.0,920.0,1059.0
Smp_006840.1,188.0,413.001,409.0,542.004
Smp_006850.1,249.0,623.0,613.0,667.0
Smp_006860.1,1727.0,3718.0,4228.0,5651.0
Smp_006920.1,55.158,172.995,121.003,228.763
Smp_006930.1,78.0,182.0,219.0,287.0
Smp_007000.1,19.0,21.0,41.0,15.0
Smp_007070.1,13.0,55.0,33.0,64.0
Smp_007170.1,1295.258,2888.263,2701.854,4769.691
Smp_007180.1,335.0,944.836,905.931,1337.609
